Country,Technology,Month,Real (TWh),Model (TWh),Diff (TWh),Diff (%)
Spain,Nuclear,2024-03,1.611355974,1.998919441083765,0.3875634670837649,24.05200795710488
Spain,Carbón,2024-03,0.101550129,0.0,-0.101550129,-100.0
Spain,Ciclo combinado,2024-03,0.955889841,0.05183038225555969,-0.9040594587444403,-94.57778710135285
Spain,Eólica,2024-03,3.128648641,3.654265878412994,0.5256172374129942,16.800136344009303
Spain,Solar fotovoltaica,2024-03,1.465422989,1.7587548910259334,0.2933319020259335,20.016875961943402
