Country,Technology,Month,Real (TWh),Model (TWh),Diff (TWh),Diff (%)
Spain,Nuclear,2024-03,1.611355974,1.998919441083765,0.3875634670837649,24.05200795710488
Spain,Carbón,2024-03,0.101550129,0.0,-0.101550129,-100.0
Spain,Ciclo combinado,2024-03,0.955889841,0.05183038225555969,-0.9040594587444403,-94.57778710135285
Spain,Eólica,2024-03,3.128648641,3.654265878412994,0.5256172374129942,16.800136344009303
Spain,Solar fotovoltaica,2024-03,1.465422989,1.7587548910259334,0.2933319020259335,20.016875961943402
France,Nuclear,2024-03,29.894501689584,16.00092632934344,-13.893575360240561,-46.4753535767463
France,Hydropower,2024-03,7.559663627279,0.3156276104663671,-7.2440360168126325,-95.82484583933831
France,Wind,2024-03,45.659868050932,3.0152796132399997,-42.644588437692,-93.3962147900284
France,Solar,2024-03,1.995817035691,0.88016269803,-1.1156543376610002,-55.899629961557764
Portugal,Wind,2024-03,1.58,0.848751027798174,-0.731248972201826,-46.28158051910291
Portugal,Hydro,2024-03,2.07,0.1893652139413763,-1.8806347860586237,-90.85192203181758
Portugal,Solar,2024-03,0.47,0.30140288970208046,-0.16859711029791952,-35.87172559530203
Portugal,Gas,2024-03,0.46,0.0,-0.46,-100.0
Portugal,Bioenergy,2024-03,0.25,0.0,-0.25,-100.0
