Country,Technology,Month,Real (TWh),Model (TWh),Diff (TWh),Diff (%)
Spain,Nuclear,2024-03,3.507782451,4.4446359743338055,0.9368535233338053,26.707857069834155
Spain,Carbón,2024-03,0.213900071,0.0,-0.213900071,-100.0
Spain,Ciclo combinado,2024-03,2.223992027,0.11982511137544229,-2.1041669156245577,-94.6121609286038
Spain,Eólica,2024-03,6.145061077,7.098783278385386,0.9537222013853857,15.520141938947008
Spain,Solar fotovoltaica,2024-03,3.0733508940000003,3.798505778473539,0.7251548844735387,23.594926498280238
France,Nuclear,2024-03,29.894501689584,33.29354640015989,3.3990447105758896,11.370133363889463
France,Hydropower,2024-03,7.559663627279,0.4761342459696079,-7.083529381309392,-93.70164772607764
France,Wind,2024-03,45.659868050932,6.031154751900001,-39.628713299032,-86.79112531562191
France,Solar,2024-03,1.995817035691,2.15159331709,0.15577628139900002,7.805138377580112
Portugal,Wind,2024-03,1.58,1.748115686437997,0.1681156864379969,10.640233318860563
Portugal,Hydro,2024-03,2.07,0.8257023727973952,-1.2442976272026045,-60.11099648321762
Portugal,Solar,2024-03,0.47,0.6521983148969985,0.18219831489699856,38.765598914255015
Portugal,Gas,2024-03,0.46,0.0,-0.46,-100.0
Portugal,Bioenergy,2024-03,0.25,0.0,-0.25,-100.0
