Country,Technology,Month,Real (TWh),Model (TWh),Diff (TWh),Diff (%)
Portugal,Wind,2024-04,1.15,1.2607918323662692,0.11079183236626933,9.634072379675594
Portugal,Wind,2024-05,1.09,0.05235646983,-1.03764353017,-95.19665414403669
Portugal,Hydro,2024-04,1.64,0.6500172796622283,-0.9899827203377716,-60.36480002059583
Portugal,Hydro,2024-05,0.83,0.0021504923900000006,-0.82784950761,-99.7409045313253
Portugal,Solar,2024-04,0.62,0.86766346079,0.24766346079,39.94571948225807
Portugal,Solar,2024-05,0.76,0.02859123981,-0.73140876019,-96.2379947618421
Portugal,Gas,2024-04,0.16,0.0,-0.16,-100.0
Portugal,Gas,2024-05,0.13,0.0,-0.13,-100.0
