p_nom,max_hours,efficiency_store,efficiency_dispatch,standing_loss,marginal_cost,cyclic_state_of_charge,technology,lat,long,name,note,closest_bus,canary
3.0,4.66,0.922,0.922,4e-05,1,False,Termico,37.38863,-5.99534,ThermalBox® para la descarbonización del proceso industrial de Persán en Sevilla (Sevilla),Termico,ES0 1,False
3.0,4.66,0.922,0.922,4e-05,1,False,Termico,38.21573,-3.5177,ThermalBox® para la descarbonización del proceso industrial de Acesur en Vilches (Jaén),Termico,ES0 31,False
5.0,2.47,0.922,0.922,4e-05,1,False,Li-ion,42.23766,-8.72472,BESS TRONCAL,Li-ion,ES0 15,False
4.8,2.13,0.922,0.922,4e-05,1,False,Li-ion,39.81564,-0.43001,PSFH ESPADAN,Li-ion,ES0 33,False
4.95,2.07,0.922,0.922,4e-05,1,False,Li-ion,39.53758,-0.37067,PARQUE DE ALMACENAMIENTO ENERGÉTICO VINALESA STORAGE 1,Li-ion,ES0 5,False
5.0,2.0,0.922,0.922,4e-05,1,False,Li-ion,40.29864,-3.58526,Aldehuela 1_ST,Li-ion,ES0 4,False
5.0,2.0,0.922,0.922,4e-05,1,False,Li-ion,41.76194,-1.47209,INSTALACIÓN ALMACENAMIENTO CENTRAL HÍBRIDA LAS AZUBÍAS,Li-ion,ES0 0,False
5.0,2.0,0.922,0.922,4e-05,1,False,Li-ion,40.25563,-3.82844,Humanes 1_ST,Li-ion,ES0 34,False
5.0,2.0,0.922,0.922,4e-05,1,False,Li-ion,40.32385,-3.86492,MOSTOLES 1_ST,Li-ion,ES0 34,False
5.0,2.0,0.922,0.922,4e-05,1,False,Li-ion,41.6331,-1.27473,Instalación almacenamiento Central Híbrida El Tollo,Li-ion,ES0 19,False
4.99,2.0,0.922,0.922,4e-05,1,False,Li-ion,40.27321,-0.9852,"Almacenamiento Central Híbrida ""Ampliación Puerto Escandón""",Li-ion,ES0 33,False
0.23,43.04,0.922,0.922,4e-05,1,False,Termico,37.38941,-5.98404,P2H_ENERGYNEST_A,Termico,ES0 1,False
2.0,4.26,0.922,0.922,4e-05,1,False,Li-ion,43.16424,-2.77834,IGORRE,Li-ion,ES0 8,False
2.0,4.0,0.922,0.922,4e-05,1,False,Li-ion,27.92355,-15.57495,BESS hibridación ISF Aldea Blanca I,Li-ion,ES0 23,True
2.0,4.0,0.922,0.922,4e-05,1,False,Li-ion,27.92355,-15.57495,BESS hibridación ISF Aldea Blanca II,Li-ion,ES0 23,True
2.0,4.0,0.922,0.922,4e-05,1,False,Li-ion,27.92355,-15.57495,BESS hibridación ISF Aldea Blanca III,Li-ion,ES0 23,True
2.0,4.0,0.922,0.922,4e-05,1,False,Li-ion,27.92355,-15.57495,BESS hibridación ISF Aldea Blanca IV,Li-ion,ES0 23,True
2.0,4.0,0.922,0.922,4e-05,1,False,Li-ion,28.09104,-17.11101,BESS hibridación PE Jedey,Li-ion,ES0 23,True
2.92,2.0,0.922,0.922,4e-05,1,False,Li-ion,40.27599,-0.98577,"Almacenamiento Central Híbrida ""Puerto Escandón""",Li-ion,ES0 33,False
2.41,2.0,0.922,0.922,4e-05,1,False,Li-ion,41.77103,-1.1226,"Almacenamiento Central Híbrida ""Los Monteros""",Li-ion,ES0 19,False
2.19,2.0,0.922,0.922,4e-05,1,False,Li-ion,41.64901,-0.89793,Instalación Almacenamiento hibridado FAVEKER N1,Li-ion,ES0 19,False
1.0,4.26,0.922,0.922,4e-05,1,False,Li-ion,43.17639,-4.01792,BARIN,Li-ion,ES0 20,False
1.0,4.26,0.922,0.922,4e-05,1,False,Li-ion,43.17639,-4.01792,ELCANO,Li-ion,ES0 20,False
0.6,6.67,0.922,0.922,4e-05,1,False,Termico,37.33977,-5.84084,Integración de Almacenamiento Térmico en Industria Cervecera (ISATICER),Termico,ES0 1,False
1.94,2.0,0.922,0.922,4e-05,1,False,Li-ion,41.61991,-1.23686,"Almacenamiento Central Híbrida ""Valdejalón II""",Li-ion,ES0 19,False
1.0,2.0,0.922,0.922,4e-05,1,False,Li-ion,37.01837,-4.55966,PLANTA DE ALMACENAMIENTO EN FUENTE DE PIEDRA,Li-ion,ES0 45,False
1.0,2.0,0.922,0.922,4e-05,1,False,Li-ion,37.4733,-4.58149,PLANTA DE ALMACENAMIENTO EN MONTURQUE,Li-ion,ES0 45,False
1.0,1.5,0.922,0.922,4e-05,1,False,Termico,40.4226,-3.67017,Criotermia,Termico,ES0 4,False
