timestamp,model_price,omie_price,price_error,price_setter,setter_mc_eur_mwh,price_gap_eur,es_load_MW,fr_import_MW,pt_import_MW,net_import_MW,vre_potential_MW,vre_actual_MW,vre_curtailment_MW,must_run_MW,residual_demand_MW,ccgt_mc_eur_mwh,fr_nuclear_MW,fr_hydro_MW,fr_wind_MW,fr_solar_MW,pt_hydro_MW,fr_price_EUR,pt_price_EUR,fr_es_price_spread,fr_load_MW,pt_load_MW,fr_surplus_MW,actual_fr_import_MW,actual_pt_import_MW,fr_import_error_MW,pt_import_error_MW,es_CCGT_flex_MW,es_CCGT_must_run_MW,es_OCGT_MW,es_biomass_MW,es_coal_MW,es_diesel_MW,es_load_shedding_MW,es_nuclear_MW,es_onwind_MW,es_ror_MW,es_solar_MW,es_PHS_MW,es_hydro_MW,es_CCGT_lo_MW,es_CCGT_mid_MW,es_CCGT_hi_MW,es_PHS_charge_MW,fr_CCGT_MW,fr_load_shedding_MW,fr_offwind_MW,fr_onwind_MW,pt_CCGT_MW,pt_load_shedding_MW,pt_offwind_MW,pt_onwind_MW,pt_solar_MW,hour,day_of_week,month,is_weekend,is_overnight,nodal_spread_EUR,nodal_max_EUR,nodal_min_EUR,nodal_max_bus,nodal_min_bus
2024-01-01 00:00:00,16.986559362372645,50.09,-33.10344063762736,nuclear,5.793926316856854,11.192633045515793,20684.698707580566,240.38944451657855,2912.8501374079497,3153.2395819245285,4737.534261632947,4737.534261632947,0.0,8526.400000000001,7420.764445947618,89.81772328725627,24786.08728720626,14765.41,15714.23749,0.0,7792.018237407949,14.194680386116003,2.001129110928149,2.7918789762566423,56093.8315,4962.5,-828.0967227937363,2543.504,-2373.718,2303.1145554834216,-5286.5681374079495,10.667706859558084,1999.999999999999,0.0,600,0.0,0.0,0.0,5926.400000000001,4737.534261632946,274.6944105125603,0.0,0.0,3994.162746650975,0.0,0.0,0.0,-0.0,0.0,0.0,1030.88775,15714.23749,0.0,0,25,58.331900000000005,0.0,0,0,1,False,True,107.74653941927086,119.58465186694086,11.838112447669998,ES1 0,ES0 27
2024-01-01 01:00:00,18.13139459338337,47.5,-29.36860540661663,nuclear,5.793926316856854,12.337468276526511,19258.49493408203,-707.8758264584523,3019.8587854222715,2311.9829589638193,4198.89075449909,4198.89075449909,0.0,8526.400000000001,6533.204179582939,89.8953951488418,23660.022134832765,14765.41,15017.272669999998,0.0,7915.867715422271,17.483833844930338,2.001434670719231,0.6475607484530279,55149.0325,4962.5,-1706.3276951672378,2515.619,-2919.477,3223.4948264584523,-5939.335785422271,0.0,1999.999999999999,0.0,600,0.0,0.0,0.0,5926.400000000001,4198.89075449909,275.5616839190263,0.0,0.0,3956.773682916548,0.0,0.0,0.0,-0.0,0.0,0.0,982.72515,15017.272669999998,0.0,0,25,41.49107,0.0,1,0,1,False,True,13.840019185631744,28.340713303807274,14.500694118175533,ES0 23,ES0 27
2024-01-01 02:00:00,5.424410918198494,43.5,-38.0755890818015,nuclear,5.793926316856854,-0.3695153986583603,18076.10947418213,113.97129325289586,3187.8361223688225,3301.8074156217185,4053.641429153424,4053.641429153424,0.0,8483.040000000003,5539.428045028702,89.8953951488418,21818.022134832765,14765.41,13955.962910000002,0.0,7794.261842368823,5.321818427373828,2.0003048289722085,0.1025924908246658,51374.074,4684.2,-834.6789551672337,2358.836,-2635.058,2244.864706747104,-5822.8941223688225,0.0,1999.999999999999,0.0,600,0.0,0.0,0.0,5883.040000000001,4053.6414291534234,276.5950524805028,0.0,0.0,1971.1348264098897,0.0,0.0,0.0,-0.0,0.0,0.0,915.05967,13955.962910000002,0.0,0,25,52.77428,0.0,2,0,1,False,True,2.938663226025249,7.594161693504464,4.655498467479215,ES0 23,ES0 27
2024-01-01 03:00:00,11.136843379657272,42.5,-31.36315662034273,nuclear,5.793926316856854,5.342917062800417,17378.111930847168,-806.5432227133986,3232.2179696073786,2425.67474689398,3873.2705151334417,3873.2705151334417,0.0,8526.400000000001,4978.441415713725,89.8953951488418,21081.22213483277,14765.41,11881.37942,0.0,7547.484329607379,10.789260067649751,2.000812750036482,0.3475833120075187,49328.1545,4413.7,-1600.1429451672377,2551.913,-2822.384,3358.4562227133983,-6054.601969607378,0.0,1999.999999999999,0.0,600,0.0,0.0,0.0,5926.400000000001,3873.270515133441,277.50234004968024,0.0,0.0,2284.761913489488,0.0,0.0,0.0,-0.0,0.0,0.0,779.4611399999999,11881.37942,0.0,0,25,73.43364000000001,0.0,3,0,1,False,True,7.839374618232702,16.920786950249262,9.08141233201656,ES0 23,ES0 27
2024-01-01 04:00:00,11.13684337965728,42.09,-30.953156620342725,nuclear,5.793926316856854,5.342917062800424,17155.69574737549,-1984.8304706458696,3188.454997967748,1203.6245273218788,3880.798021221307,3880.798021221307,0.0,8526.400000000001,4748.497726154179,89.8953951488418,20648.203462533023,14765.41,10951.39925,0.0,7297.680817967748,10.789260067649751,2.000812750036482,0.3475833120075258,49057.278,4247.7,-2692.265287466973,2497.146,-2797.828,4481.97647064587,-5986.282997967748,0.0,1999.999999999999,0.0,600,0.0,0.0,0.0,5926.400000000001,3880.798021221306,278.1536172062418,0.0,0.0,3276.032627082476,0.0,0.0,0.0,-0.0,0.0,0.0,718.96059,10951.39925,0.0,0,25,113.47418,0.0,4,0,1,False,True,7.839374618232739,16.920786950249298,9.08141233201656,ES0 23,ES0 27
2024-01-01 05:00:00,10.86953607798603,42.5,-31.63046392201397,nuclear,5.793926316856854,5.075609761129176,17353.379920959473,-2195.879045054701,3177.996190365134,982.1171453104334,4147.536445917608,4147.536445917608,0.0,8526.400000000001,4679.443475041862,89.8953951488418,20376.546666723018,14765.41,10538.55727,0.0,7126.949240365135,10.789284109181198,2.00387139461157,0.0802519688048324,48553.4355,4171.6,-2872.921563276992,2440.991,-2803.47,4636.8700450547,-5981.466190365134,0.0,1999.999999999999,0.0,600,0.0,0.0,0.0,5926.400000000001,4147.536445917607,278.846614175669,0.0,0.0,3427.955426509812,0.0,0.0,0.0,-0.0,0.0,0.0,692.73873,10538.55727,0.0,0,25,197.64695,0.0,5,0,1,False,True,4.617782131298734,13.834599945331346,9.216817814032613,ES0 10,ES0 27
2024-01-01 06:00:00,11.136843379657265,42.59,-31.45315662034274,nuclear,5.793926316856854,5.34291706280041,17802.359184265137,-1324.1229676379437,3208.069102551695,1883.9461349137512,4041.8786659776056,4041.8786659776056,0.0,8504.360000000002,5256.120518287529,89.8953951488418,21113.346666723013,14765.41,10486.91741,0.0,7127.202762551695,10.789260067649732,2.000812750036482,0.3475833120075329,48381.594,4159.8,-2015.9199232769824,2542.614,-2888.153,3866.736967637944,-6096.222102551695,0.0,1999.999999999999,0.0,600,0.0,0.0,0.0,5904.360000000001,4041.8786659776056,279.3934850079313,0.0,0.0,3102.6577217777754,0.0,0.0,0.0,-0.0,0.0,0.0,689.1711300000001,10486.91741,0.0,0,25,215.66634,0.0,6,0,1,False,False,7.839374618232748,16.920786950249312,9.081412332016564,ES0 23,ES0 27
2024-01-01 07:00:00,13.8256323566634,43.37,-29.5443676433366,nuclear,5.793926316856854,8.031706039806545,17905.735694885254,-1816.342866627259,3160.1398691567265,1343.7970025294678,4205.2429187592,4205.2429187592,0.0,8461.000000000002,5239.492776126053,89.8953951488418,22360.79132922954,14765.41,9853.69922,0.0,7024.744979156726,13.362734137406012,2.0010518237704864,0.4628982192573883,49437.102,4131.0,-2457.2014507704516,2711.566,-2878.847,4527.908866627258,-6038.986869156726,0.0,1999.999999999999,0.0,600,0.0,0.0,0.0,5861.000000000001,4205.242918759199,279.26387077422544,0.0,0.0,3626.7745443286217,0.0,0.0,0.0,-0.0,0.0,0.0,647.28156,9853.69922,0.0,0,25,241.39489,0.0,7,0,1,False,False,10.146094016625604,21.310742954490383,11.16464893786478,ES0 23,ES0 27
2024-01-01 08:00:00,11.878465345594512,42.29,-30.41153465440549,nuclear,5.793926316856854,6.084539028737659,18998.471519470215,-3472.9009497099337,3408.365532044774,-64.53541766515946,7654.080923411981,7654.080923411981,0.0,8312.84,3031.550596058234,89.8953951488418,22080.50711603011,14765.41,9272.6062,712.19337,7196.091052044774,12.470922778369118,4.876540288674748,-0.592457432774605,50853.984,4160.6,-4023.267313969889,2648.057,-2832.95,6120.957949709933,-6241.315532044774,0.0,1999.999999999999,0.0,600,0.0,0.0,0.0,5712.84,4302.966942258562,279.30946159127893,3351.1139811534185,0.0,2827.3833377593146,0.0,0.0,0.0,-0.0,0.0,0.0,608.3352600000001,9272.6062,0.0,0,25,314.64011999999997,33.234359999999995,8,0,1,False,False,2.9649235950167103,12.89820214227625,9.93327854725954,ES0 27,ES0 23
2024-01-01 09:00:00,0.8374467591289585,25.0,-24.16255324087104,onwind,0.5,0.3374467591289585,20848.995574951172,-3513.346720546598,1461.8281820447748,-2051.518538501823,15119.364978991163,14022.031719963954,1097.3332590272094,8164.680000000002,-1337.7161450127842,89.8953951488418,21056.253339453397,14765.41,8464.7133,4379.0663,3857.4910520447743,12.471914198000242,0.6051506610450418,-11.634467438871283,52674.9785,4402.0,-4009.535560546596,2943.914,-2872.722,6457.260720546598,-4334.550182044775,0.0,1999.999999999999,0.0,600,0.0,0.0,0.0,5564.68,3296.7550526160935,278.8766740515818,10725.276667347856,0.0,446.2510353286906,0.0,0.0,0.0,-0.0,0.0,0.0,556.18884,8464.7133,0.0,0,25,438.32023,1543.0169,9,0,1,False,False,1.6089632043113893,1.8046552114222776,0.1956920071108886,ES0 43,ES0 24
